bloque,id_registro,etiqueta_llm,confianza_llm,justificacion_llm,modelo
test,2594,muy positivo,0.9,Recomendación entusiasta de ofertas y tarjetas,openai/gpt-oss-120b
test,3024,neutral,0.84,"Elogia pero lamenta cierre, tono mixto",openai/gpt-oss-120b
test,1130,muy negativo,0.98,"Queja grave, maltrato, recomienda no ir",openai/gpt-oss-120b
test,2573,positivo,0.9,"Oferta buena, ambiente tranquilo, satisfacción moderada",openai/gpt-oss-120b
test,3189,positivo,0.92,"Buena atención y variedad, tono positivo moderado",openai/gpt-oss-120b
test,2941,neutral,0.85,Combina aspectos positivos y negativos sin predominio,openai/gpt-oss-120b
test,3469,muy positivo,0.96,"Entusiasmo claro, recomienda fuertemente",openai/gpt-oss-120b
test,231,negativo,0.9,"Insatisfacción por demoras y aglomeración, sugiere alternativas",openai/gpt-oss-120b
test,2543,positivo,0.85,"Elogia variedad y comodidad, menciona atención deficiente",openai/gpt-oss-120b
test,55,neutral,0.8,Comentario informativo sin valoración,openai/gpt-oss-120b
test,4201,muy negativo,0.97,Queja grave de atención y promesas incumplidas,openai/gpt-oss-120b
test,3874,positivo,0.88,Comentario breve pero favorable,openai/gpt-oss-120b
test,217,negativo,0.85,Expresa insatisfacción por ausencia de sistema,openai/gpt-oss-120b
test,570,neutral,0.84,"Alaba atención, critica larga espera y lentitud",openai/gpt-oss-120b
test,2710,positivo,0.9,"Precio bueno y poca espera, satisfacción moderada",openai/gpt-oss-120b
test,4095,neutral,0.85,Equilibrio entre buen servicio y problemas de stock,openai/gpt-oss-120b
test,4490,muy negativo,0.96,"Experiencia grave, riesgo de intoxicación, queja fuerte",openai/gpt-oss-120b
test,3708,positivo,0.88,Comentario breve y favorable,openai/gpt-oss-120b
test,1380,muy positivo,0.92,Elogio amplio y entusiasta del establecimiento,openai/gpt-oss-120b
test,2294,negativo,0.88,Critica personal pese a instalaciones limpias,openai/gpt-oss-120b
test,4309,neutral,0.8,Texto informativo sin valoración,openai/gpt-oss-120b
test,1477,positivo,0.9,"Elogio a variedad y calidad, sugerencia leve",openai/gpt-oss-120b
test,1021,muy negativo,0.96,"Queja grave por cobro indebido y burla al cliente, sugiere no ir.",openai/gpt-oss-120b
test,947,positivo,0.94,"Elogio a la atención rápida y bioseguridad, indica buena experiencia.",openai/gpt-oss-120b
test,1395,negativo,0.92,Larga fila y escaso personal generan insatisfacción al recoger compras.,openai/gpt-oss-120b
test,621,negativo,0.93,"Falta de ticket preferencial y equipos, muestra clara insatisfacción.",openai/gpt-oss-120b
test,4217,negativo,0.91,"Muchas quejas sobre higiene y accesibilidad, pese a precios aceptables.",openai/gpt-oss-120b
test,2463,positivo,0.95,"Elogia orden, limpieza y personal competente, anima a seguir mejorando.",openai/gpt-oss-120b
test,926,muy negativo,0.96,"Personal descortés y distraído, queja grave que desaconseja el servicio.",openai/gpt-oss-120b
test,1229,positivo,0.94,"Prefiere tienda física, entrega rápida y buena variedad, satisfacción moderada.",openai/gpt-oss-120b
test,1002,positivo,0.95,"Atención rápida en cita programada, experiencia satisfactoria.",openai/gpt-oss-120b
test,4066,neutral,0.9,Comentario informativo sobre ropa básica útil en emergencias.,openai/gpt-oss-120b
test,1184,negativo,0.92,"Escasez de cajeras y largas esperas, genera insatisfacción.",openai/gpt-oss-120b
test,572,negativo,0.91,"Proceso de compra lento, aunque personal amable, causa insatisfacción.",openai/gpt-oss-120b
test,4092,neutral,0.88,"Observación mixta sobre ubicación de tiendas, sin fuerte preferencia.",openai/gpt-oss-120b
test,4584,muy positivo,0.97,"Entusiasta elogio, super descuentos y ambiente agradable, visita altamente recomendada.",openai/gpt-oss-120b
test,2994,positivo,0.94,"Elogio a la amabilidad del personal, satisfacción evidente.",openai/gpt-oss-120b
test,1179,positivo,0.93,"Reconoce mejoras y sugiere capacitación, tono constructivo y positivo.",openai/gpt-oss-120b
test,219,negativo,0.9,"Restricción de acceso a cajeros fuera de horario, queja clara.",openai/gpt-oss-120b
test,3535,negativo,0.91,"Critica presentación de ropa, sugiere mejoras en exhibición.",openai/gpt-oss-120b
test,1992,muy negativo,0.96,"Falta de atención a mayores y trato despótico, queja grave.",openai/gpt-oss-120b
test,3179,muy positivo,0.95,"Recomendación entusiasta, destaca descuentos y preferencia por la tienda.",openai/gpt-oss-120b
test,3823,muy negativo,0.95,"Quejas graves de lentitud y discriminación, tono muy negativo",openai/gpt-oss-120b
test,3830,muy negativo,0.96,"Enojo intenso, críticas severas al personal y servicio",openai/gpt-oss-120b
test,3329,positivo,0.9,Elogio moderado de variedad y organización,openai/gpt-oss-120b
test,3976,positivo,0.85,"Mayormente positivo, aunque menciona colas largas",openai/gpt-oss-120b
test,2275,muy negativo,0.97,"Queja grave de retrasos y mentiras, recomendación negativa",openai/gpt-oss-120b
test,3466,positivo,0.84,"Elogio general, con observaciones negativas menores",openai/gpt-oss-120b
test,1909,muy positivo,0.93,"Entusiasmo claro, recomienda volver",openai/gpt-oss-120b
test,3767,positivo,0.8,Comentario breve pero positivo,openai/gpt-oss-120b
test,1802,positivo,0.85,Elogio moderado del patio de comida y variedad,openai/gpt-oss-120b
test,2983,neutral,0.8,Balance entre satisfacción y queja de cajas automáticas,openai/gpt-oss-120b
test,4109,positivo,0.86,"Elogio fuerte, con inconveniente menor de transporte",openai/gpt-oss-120b
test,3932,muy positivo,0.94,"Entusiasmo y recomendación clara, elogios predominantes",openai/gpt-oss-120b
test,3107,neutral,0.78,"Comentario equilibrado, menciona falta de zapatos nacionales",openai/gpt-oss-120b
test,894,muy negativo,0.95,Queja fuerte de mala atención y falta de solución,openai/gpt-oss-120b
test,449,positivo,0.85,"Elogio a la atención, con mención breve de cola",openai/gpt-oss-120b
test,4462,positivo,0.8,Comentario breve pero favorable,openai/gpt-oss-120b
test,3690,muy positivo,0.92,"Entusiasmo claro, recomendación positiva",openai/gpt-oss-120b
test,88,muy positivo,0.9,Comentario breve pero altamente entusiasta,openai/gpt-oss-120b
test,1570,negativo,0.8,"Queja de discriminación, aunque menciona intención de volver",openai/gpt-oss-120b
test,370,muy negativo,0.94,Fuerte queja de ineficiencia y larga espera,openai/gpt-oss-120b
test,2949,positivo,0.85,"Elogia variedad, calidad y ofertas, sin quejas.",openai/gpt-oss-120b
test,2619,muy positivo,0.9,"Entusiasmo claro, recomienda la tienda y tarjeta.",openai/gpt-oss-120b
test,2846,positivo,0.8,"Elogia tienda y ofertas, menciona demoras en caja.",openai/gpt-oss-120b
test,4623,neutral,0.7,"Solo describe variedad, sin valoración.",openai/gpt-oss-120b
test,3615,positivo,0.8,"Elogia variedad, precios y limpieza sin quejas.",openai/gpt-oss-120b
test,1038,muy negativo,0.95,"Quejas graves, servicio pésimo y burlas.",openai/gpt-oss-120b
test,1496,positivo,0.8,"Elogia atención, menciona duda menor.",openai/gpt-oss-120b
test,652,muy negativo,0.85,"Larga espera y falta de producto, califica servicio pésimo.",openai/gpt-oss-120b
test,983,positivo,0.85,Elogia atención rápida y poca fila.,openai/gpt-oss-120b
test,2697,neutral,0.75,"Elogia tienda y atención, critica largas colas.",openai/gpt-oss-120b
test,66,positivo,0.8,"Indica mejora continua, tono positivo.",openai/gpt-oss-120b
test,2716,positivo,0.85,Elogia rapidez y ausencia de filas.,openai/gpt-oss-120b
test,583,positivo,0.8,"Buen trato y servicio, advierte colas.",openai/gpt-oss-120b
test,690,negativo,0.85,Critica atención regular y largas esperas.,openai/gpt-oss-120b
test,3713,muy positivo,0.8,"Elogia disposición y ambiente, tono entusiasta.",openai/gpt-oss-120b
test,2505,positivo,0.8,"Elogia tienda, menciona máquina de precios fuera.",openai/gpt-oss-120b
test,3043,neutral,0.75,Describe variedad y precios sin valoración clara.,openai/gpt-oss-120b
test,3187,positivo,0.85,Elogia atención amable y todo bien.,openai/gpt-oss-120b
test,4163,positivo,0.8,"Alaba protocolos y orden, tono positivo.",openai/gpt-oss-120b
test,1387,muy positivo,0.85,"Entusiasmo al comprar, destaca seguridad y felicidad.",openai/gpt-oss-120b
test,4067,neutral,0.78,"Atención medianamente buena, falta amabilidad, menciona promociones.",openai/gpt-oss-120b
test,683,negativo,0.85,"Espera larga y falta de ayudantes, queja clara.",openai/gpt-oss-120b
test,3219,muy negativo,0.95,"Seguridad grosera, humillación, experiencia muy negativa.",openai/gpt-oss-120b
test,2694,muy positivo,0.9,"Retiro rápido y excelente, recomienda fuertemente.",openai/gpt-oss-120b
test,3336,positivo,0.85,"Atención rápida, orden, amable, beneficios, tono positivo.",openai/gpt-oss-120b
test,2293,negativo,0.88,"Personal ineficiente, largas colas, atención lenta, queja fuerte.",openai/gpt-oss-120b
test,4303,positivo,0.8,"Resalta buen servicio, tono positivo.",openai/gpt-oss-120b
test,705,neutral,0.75,"Seguro y cómodo, pero falta variedad de tiendas.",openai/gpt-oss-120b
test,2982,positivo,0.85,"Buenos productos y servicio, pasillos amplios, limpio.",openai/gpt-oss-120b
test,2350,muy positivo,0.88,"Muy buena atención y rapidez, entusiasmo.",openai/gpt-oss-120b
test,302,positivo,0.82,"Excelente trato, cola larga, pero atención oportuna.",openai/gpt-oss-120b
test,4448,muy positivo,0.8,"Solo estrellas por el bistró, entusiasmo evidente.",openai/gpt-oss-120b
test,1767,muy positivo,0.9,"Muy buena atención al cliente, elogio fuerte.",openai/gpt-oss-120b
test,1533,neutral,0.7,"Menciona precio de cafetera, sin valoración.",openai/gpt-oss-120b
test,4615,positivo,0.8,"Personal amable, variedad, nota de llevar bolsas.",openai/gpt-oss-120b
test,1393,positivo,0.85,"Nuevas prendas, combinaciones hermosas, comentario positivo.",openai/gpt-oss-120b
test,540,negativo,0.78,"Horario corto, queja sobre disponibilidad.",openai/gpt-oss-120b
test,3522,muy negativo,0.85,Queja fuerte por cobro de estacionamiento.,openai/gpt-oss-120b
test,2061,neutral,0.7,Descripción neutral de conservación histórica.,openai/gpt-oss-120b
test,2335,positivo,0.78,"Agencia atendió bien, contraste con otra, tono positivo.",openai/gpt-oss-120b
test,758,muy positivo,0.97,"Elogio entusiasta, destaca excelente atención y recomienda continuar.",openai/gpt-oss-120b
test,531,negativo,0.94,"Queja clara por larga espera, muestra insatisfacción moderada.",openai/gpt-oss-120b
test,2452,positivo,0.92,"Elogio a atención dinámica, aunque reconoce que suele ser diferente.",openai/gpt-oss-120b
test,3697,muy negativo,0.96,"Denuncia estafa y mala calidad, tono de enojo y rechazo total.",openai/gpt-oss-120b
test,1406,positivo,0.9,"Comentario breve, elogia ropa y sugiere recomendación.",openai/gpt-oss-120b
test,4219,muy negativo,0.97,"Critica grave higiene y servicio, menciona falta de respuesta y accesibilidad.",openai/gpt-oss-120b
test,4197,negativo,0.91,"Señala ofertas limitadas y precios altos, tono crítico.",openai/gpt-oss-120b
test,3001,positivo,0.93,"Resalta buena organización y rapidez, satisfacción moderada.",openai/gpt-oss-120b
test,2583,muy positivo,0.96,"Elogio entusiasta a ofertas, atención y rapidez.",openai/gpt-oss-120b
test,2588,positivo,0.89,"Destaca precios cómodos y accesibles, tono favorable.",openai/gpt-oss-120b
test,172,muy positivo,0.95,"Elogio fuerte y motivador, recomienda seguir adelante.",openai/gpt-oss-120b
test,522,muy negativo,0.98,Queja vehemente por atención pésima y personal grosero.,openai/gpt-oss-120b
test,454,neutral,0.88,Descripción informativa sin fuerte valoración positiva ni negativa.,openai/gpt-oss-120b
test,3104,muy positivo,0.94,Elogio amplio y recomendación clara a visitar.,openai/gpt-oss-120b
test,3834,muy negativo,0.96,"Denuncia mala atención y retención de dinero, tono muy crítico.",openai/gpt-oss-120b
test,3128,neutral,0.87,"Queja por error de precio, pero se resolvió, tono equilibrado.",openai/gpt-oss-120b
test,1927,positivo,0.92,Expresa satisfacción general y buen orden del supermercado.,openai/gpt-oss-120b
test,3585,positivo,0.9,"Resalta variedad y calidad, comparación favorable, tono positivo.",openai/gpt-oss-120b
test,4417,muy positivo,0.93,"Elogio breve y entusiasta con emoji, recomienda productos.",openai/gpt-oss-120b
test,2352,muy negativo,0.97,"Critica asesoramiento pésimo y personal incapaz, tono fuertemente negativo.",openai/gpt-oss-120b
test,4259,positivo,0.88,"Personal atento, gran variedad y precios competitivos, ubicación conveniente.",openai/gpt-oss-120b
test,2814,positivo,0.9,"Buen equipo y precios, pero necesita mejor distribución; lo recomiendo.",openai/gpt-oss-120b
test,329,muy negativo,0.96,"Arrogancia, lentitud extrema, falta de respeto al cliente.",openai/gpt-oss-120b
test,1257,muy positivo,0.92,"Me gusta mucho, ofertas, espacio cómodo con agua caliente.",openai/gpt-oss-120b
test,3986,muy positivo,0.95,"Servicio excelente, gran variedad, ofertas atractivas, tienda muy grande.",openai/gpt-oss-120b
test,2080,neutral,0.84,"Buena atención y productos, pero no permiten portabilidad prepago.",openai/gpt-oss-120b
test,1207,positivo,0.87,"Muchísima variedad, aconseja ir entre semana para evitar aglomeración.",openai/gpt-oss-120b
test,2139,muy negativo,0.98,"Gran estafa, atención terrible, robos, largas esperas, sin respuesta.",openai/gpt-oss-120b
test,1397,positivo,0.86,Eficiente y rápido en atención y solución de problemas.,openai/gpt-oss-120b
test,470,positivo,0.82,Muy buena atención de los asistentes de los módulos.,openai/gpt-oss-120b
test,3859,muy negativo,0.97,"Vigilador robó pedido, total asco, inseguridad, denuncia.",openai/gpt-oss-120b
test,1724,neutral,0.9,"Información sobre local amplio, cine cercano, tiendas y cajeros.",openai/gpt-oss-120b
test,2815,positivo,0.85,"Amplio, todo disponible, buenos precios y variedad.",openai/gpt-oss-120b
test,3756,positivo,0.88,"Protocolos, marcas, ofertas; recomienda ir entre semana por aforo.",openai/gpt-oss-120b
test,367,muy negativo,0.95,"No atienden cuentas corporativas, app falla, caos, sin solución.",openai/gpt-oss-120b
test,3642,positivo,0.8,Me gustan los productos que vende.,openai/gpt-oss-120b
test,2221,positivo,0.8,"Amplio, buena atención, bien ubicado.",openai/gpt-oss-120b
test,1453,neutral,0.86,"Buena ubicación, estacionamiento difícil, portafolio reducido, prefiero Ripley.",openai/gpt-oss-120b
test,2828,positivo,0.86,"Buen lugar, amplio estacionamiento, productos variados, encontré lo necesario.",openai/gpt-oss-120b
test,1537,muy positivo,0.9,"Tienda renovada, buena atención, recomiendo visitar.",openai/gpt-oss-120b
test,1286,muy negativo,0.98,"Queja grave, servicio pésimo, devolución imposible",openai/gpt-oss-120b
test,1259,negativo,0.85,"Variedad buena, pero colas lentas generan insatisfacción",openai/gpt-oss-120b
test,241,positivo,0.9,Elogio claro a la atención,openai/gpt-oss-120b
test,1915,muy positivo,0.95,Elogio entusiasta de productos y precios,openai/gpt-oss-120b
test,2344,muy positivo,0.93,Elogio fuerte a la atención y solución,openai/gpt-oss-120b
test,1143,negativo,0.84,"Ambiente amable, pero problemas se manejan terriblemente",openai/gpt-oss-120b
test,1312,neutral,0.8,Solo describe variedad sin juicio,openai/gpt-oss-120b
test,1686,neutral,0.78,"Describe tienda, atención regular, sin fuerte valoración",openai/gpt-oss-120b
test,2271,muy negativo,0.97,"Larga espera, califica como pésimo, fuerte queja",openai/gpt-oss-120b
test,4126,muy positivo,0.92,"Elogio amplio surtido, atención y seguridad, tono entusiasta",openai/gpt-oss-120b
test,3889,positivo,0.88,"Elogio a la atención, tono positivo",openai/gpt-oss-120b
test,1448,neutral,0.8,"Ayuda al comprar, pero devolución lenta, balanceado",openai/gpt-oss-120b
test,4711,muy positivo,0.95,"Elogio entusiasta, tienda quedó espectacular",openai/gpt-oss-120b
test,1133,muy negativo,0.96,"Queja grave por falta de protocolo, desaconseja visita",openai/gpt-oss-120b
test,3265,positivo,0.9,Elogio a amplitud y atención eficiente,openai/gpt-oss-120b
test,4205,negativo,0.85,Critica precios ocultos y falta de ofertas,openai/gpt-oss-120b
test,1957,neutral,0.75,"Solo menciona existencia de ofertas, sin juicio",openai/gpt-oss-120b
test,1210,positivo,0.88,Elogia variedad y ropa de invierno,openai/gpt-oss-120b
test,921,muy negativo,0.97,"Experiencia horrible, atención no asume responsabilidad",openai/gpt-oss-120b
test,2152,muy negativo,0.96,"Queja extensa, advierte que perderás tiempo",openai/gpt-oss-120b
test,4634,muy positivo,0.96,Elogia mucho la tienda y su atención,openai/gpt-oss-120b
test,2151,negativo,0.94,Queja por falta de cobertura y cambio a otro proveedor,openai/gpt-oss-120b
test,812,negativo,0.95,Indica falta de atención al público,openai/gpt-oss-120b
test,3821,muy negativo,0.97,Enojo por engaño y falta de atención,openai/gpt-oss-120b
test,4212,negativo,0.9,Elogia variedad pero critica falta de accesibilidad,openai/gpt-oss-120b
test,2895,muy positivo,0.96,Alaba mucho el buffet y el servicio rápido,openai/gpt-oss-120b
test,876,neutral,0.85,Texto sin opinión clara,openai/gpt-oss-120b
test,1773,neutral,0.85,Texto meramente informativo sin valoración,openai/gpt-oss-120b
test,728,positivo,0.93,Recomienda el centro y destaca buen servicio,openai/gpt-oss-120b
test,2591,positivo,0.92,Elogia comodidad de la ropa comparada con otras tiendas,openai/gpt-oss-120b
test,539,muy negativo,0.98,Expresa enojo y describe desastre total,openai/gpt-oss-120b
test,1315,muy negativo,0.98,"Queja grave, acusa falta de servicio y engaño",openai/gpt-oss-120b
test,2330,muy positivo,0.96,Elogia atención y la califica mejor que otras oficinas,openai/gpt-oss-120b
test,1704,positivo,0.9,"Destaca calidad y ubicación, menciona precios altos",openai/gpt-oss-120b
test,3929,muy positivo,0.96,Resalta múltiples aspectos positivos del supermercado,openai/gpt-oss-120b
test,2558,muy positivo,0.95,Elogia orden y atención recomendando,openai/gpt-oss-120b
test,680,negativo,0.93,Se queja de larga espera para ser atendido,openai/gpt-oss-120b
test,2934,negativo,0.9,Describe problemas de acceso y atención confusa,openai/gpt-oss-120b
test,4655,muy positivo,0.94,Muestra entusiasmo por la venta diaria del chuculum,openai/gpt-oss-120b
test,4088,negativo,0.92,Enumera varios problemas de infraestructura y servicio,openai/gpt-oss-120b
test,569,negativo,0.85,"Lenta, larga espera, queja mayor que elogio",openai/gpt-oss-120b
test,3349,neutral,0.7,Comentario mixto sin clara polaridad,openai/gpt-oss-120b
test,3706,negativo,0.75,"Quejas sobre tiendas y ubicación, pese a cierre positivo",openai/gpt-oss-120b
test,2104,muy negativo,0.95,"Queja grave, abuso, recomienda no ir",openai/gpt-oss-120b
test,4600,muy positivo,0.9,"Entusiasta, elogios sin reservas, experiencia excelente",openai/gpt-oss-120b
test,2278,negativo,0.8,"Confusión en pagos, insatisfacción clara",openai/gpt-oss-120b
test,1786,positivo,0.85,"Elogios moderados, experiencia agradable y segura",openai/gpt-oss-120b
test,931,negativo,0.85,"Lentitud en atención, queja clara",openai/gpt-oss-120b
test,2253,muy negativo,0.95,"Abusivo, pérdida de tiempo y dinero, fuerte queja",openai/gpt-oss-120b
test,3489,positivo,0.8,"Elogios y buenas ofertas, tono positivo",openai/gpt-oss-120b
test,2899,positivo,0.9,Comentario breve y positivo,openai/gpt-oss-120b
test,342,neutral,0.7,"Comentario mixto, ni totalmente positivo ni negativo",openai/gpt-oss-120b
test,3499,negativo,0.85,"Queja sobre precios, experiencia mala",openai/gpt-oss-120b
test,2569,neutral,0.75,"Elogio de precios y queja de atención, equilibrio",openai/gpt-oss-120b
test,514,muy negativo,0.95,"Queja grave, falta de solución, tono enfadado",openai/gpt-oss-120b
test,453,positivo,0.9,"Elogio con recomendación, tono positivo",openai/gpt-oss-120b
test,2571,positivo,0.85,"Comentario breve, elogio del precio",openai/gpt-oss-120b
test,4053,muy negativo,0.95,"Queja fuerte sobre cobro de baño, ética cuestionada",openai/gpt-oss-120b
test,1145,negativo,0.8,"Queja sobre gerente y precios, insatisfacción clara",openai/gpt-oss-120b
test,910,muy negativo,0.95,"Queja grave, falta de solución, tono enfadado",openai/gpt-oss-120b
test,2620,positivo,0.92,"Elogia ambiente y productos, sin quejas.",openai/gpt-oss-120b
test,1118,muy positivo,0.96,Expresión corta de alta satisfacción.,openai/gpt-oss-120b
test,3152,positivo,0.9,Destaca buen servicio y reembolso amable.,openai/gpt-oss-120b
test,346,muy negativo,0.97,"Denuncia robo y falta de dinero, tono furioso.",openai/gpt-oss-120b
test,1475,negativo,0.85,Ofertas buenas pero queja fuerte de ubicación.,openai/gpt-oss-120b
test,2277,muy negativo,0.94,Critica atención y espera de 2 horas.,openai/gpt-oss-120b
test,4609,muy positivo,0.96,"Entusiasmo evidente, recomienda promoción.",openai/gpt-oss-120b
test,203,muy positivo,0.9,Califica arquitectura como espectacular.,openai/gpt-oss-120b
test,3151,neutral,0.8,Mezcla elogio y molestia por preguntas repetidas.,openai/gpt-oss-120b
test,4180,positivo,0.9,Resalta modernidad y variedad de marcas.,openai/gpt-oss-120b
test,4577,neutral,0.85,Descripción informativa sin valoración.,openai/gpt-oss-120b
test,3082,positivo,0.9,"Menciona buena ubicación, variedad y atención.",openai/gpt-oss-120b
test,4629,neutral,0.85,Descripción estructural sin juicio.,openai/gpt-oss-120b
test,2917,muy negativo,0.98,"Quejas múltiples, no recomienda el lugar.",openai/gpt-oss-120b
test,1125,negativo,0.88,"Se queja de cargos extra, decide no usar.",openai/gpt-oss-120b
test,2410,negativo,0.85,"Critica proceso y larga espera, tono negativo.",openai/gpt-oss-120b
test,3627,muy positivo,0.92,"Entusiasmo por producto, lo llama maravilla.",openai/gpt-oss-120b
test,4408,neutral,0.85,"Lista variedad, sin opinión clara.",openai/gpt-oss-120b
test,2755,positivo,0.9,Destaca rapidez de atención en congestión.,openai/gpt-oss-120b
test,3778,neutral,0.85,"Describe tamaño, sin valoración.",openai/gpt-oss-120b
test,2693,positivo,0.85,"Oferta y limpieza, pero velocidad en caja lenta.",openai/gpt-oss-120b
test,1777,muy positivo,0.9,"Café agradable, ambiente super positivo.",openai/gpt-oss-120b
test,4495,muy negativo,0.95,"Organización pésima, personal incapaz.",openai/gpt-oss-120b
test,3050,neutral,0.8,"Todo correcto, sin entusiasmo ni quejas.",openai/gpt-oss-120b
test,4775,muy positivo,0.9,Pollo excelente y experiencia divertida.,openai/gpt-oss-120b
test,4076,muy negativo,0.96,"Producto no disponible, publicidad engañosa.",openai/gpt-oss-120b
test,499,muy negativo,0.97,"Peor servicio, falta de empatía total.",openai/gpt-oss-120b
test,3611,muy positivo,0.95,"Atención excelente, tienda favorita, gran entusiasmo.",openai/gpt-oss-120b
test,1006,muy negativo,0.94,"Descuento no se cumple, se siente estafa.",openai/gpt-oss-120b
test,1065,negativo,0.85,No ayudaron con mi solicitud.,openai/gpt-oss-120b
test,137,negativo,0.8,"Cajero falla, no permite depósitos.",openai/gpt-oss-120b
test,1240,positivo,0.8,Buen ambiente y seguridad.,openai/gpt-oss-120b
test,3841,positivo,0.85,"Buena atención, cumple bioseguridad.",openai/gpt-oss-120b
test,3101,neutral,0.75,"Variedad y auto‑pago útiles, pero ofertas molestas.",openai/gpt-oss-120b
test,1234,positivo,0.85,Productos muy buenos.,openai/gpt-oss-120b
test,4621,neutral,0.75,"Poca variedad, pero parqueo tranquilo.",openai/gpt-oss-120b
test,626,muy negativo,0.95,"Cola interminable, pocos puestos funcionan.",openai/gpt-oss-120b
test,4337,muy positivo,0.9,"Personal amable, buen servicio sin problemas.",openai/gpt-oss-120b
test,169,muy negativo,0.85,"Solo un local recibe CTS, muy mal.",openai/gpt-oss-120b
test,2363,muy negativo,0.96,"Movistar actúa como criminal, total desprecio.",openai/gpt-oss-120b
test,2608,muy positivo,0.95,"Elogios, recomendación y buena atención",openai/gpt-oss-120b
test,2206,muy negativo,0.96,"Queja grave por demoras, falta de efectivo y mala atención",openai/gpt-oss-120b
test,3722,positivo,0.93,"Elogia ofertas y atención, tono positivo",openai/gpt-oss-120b
test,2073,positivo,0.9,Destaca mejora en tiempo de atención,openai/gpt-oss-120b
test,3531,muy negativo,0.97,Queja grave por falta de servicio y responsabilidad,openai/gpt-oss-120b
test,1281,negativo,0.92,Critica largas colas y pedidos incompletos,openai/gpt-oss-120b
test,2926,muy negativo,0.98,Denuncia robo y falta de seguridad,openai/gpt-oss-120b
test,2530,neutral,0.88,"Comentario mixto, buen pero poca afluencia",openai/gpt-oss-120b
test,822,neutral,0.85,Texto sin valoración clara,openai/gpt-oss-120b
test,3277,positivo,0.9,Elogio con sugerencia de más cajeros,openai/gpt-oss-120b
test,2341,muy positivo,0.94,Expresa excelente experiencia y recomendación,openai/gpt-oss-120b
test,2799,negativo,0.9,"Critica precios altos y calidad, tono negativo",openai/gpt-oss-120b
test,2484,negativo,0.9,Señala incumplimiento de horario de apertura,openai/gpt-oss-120b
test,3367,negativo,0.92,Mala atención y falta de información,openai/gpt-oss-120b
test,4479,muy positivo,0.96,Entusiasmo y elogio sin reservas,openai/gpt-oss-120b
test,3014,muy positivo,0.94,"Elogio entusiasta, lo califica como mejor",openai/gpt-oss-120b
test,4678,muy negativo,0.97,Denuncia falta de surtido y mala gestión,openai/gpt-oss-120b
test,2496,muy negativo,0.93,"Critica atención, calor y precio, no lo recomienda",openai/gpt-oss-120b
test,1582,positivo,0.9,Elogia ubicación y buena atención,openai/gpt-oss-120b
test,3301,positivo,0.88,"Recomienda como alternativa, aunque menciona faltas",openai/gpt-oss-120b
test,3888,muy positivo,0.96,Expresa gran satisfacción con la atención,openai/gpt-oss-120b
test,1886,positivo,0.88,"Destaca variedad, menciona congestión sin quejarse fuertemente",openai/gpt-oss-120b
test,3061,muy negativo,0.97,"Enojo intenso, denuncia insultos y maltrato, aconseja evitar",openai/gpt-oss-120b
test,296,muy positivo,0.94,"Elogia rapidez y puntualidad, tono muy favorable",openai/gpt-oss-120b
test,4425,muy positivo,0.96,"Alaba atención, ofertas y calidad, muestra gran entusiasmo",openai/gpt-oss-120b
test,681,negativo,0.86,"Insatisfacción por demoras y horarios limitados, sugiere mejoras",openai/gpt-oss-120b
test,4521,negativo,0.85,"Critica precios altos y producto con hongos, tono desfavorable",openai/gpt-oss-120b
test,3333,muy positivo,0.94,"Elogia variedad, atención, estacionamiento y baños, tono muy positivo",openai/gpt-oss-120b
test,3225,muy negativo,0.96,"Denuncia producto próximo a vencerse, riesgo salud, critica personal",openai/gpt-oss-120b
test,3891,negativo,0.88,Se queja de mala atención y falta de ayuda del personal,openai/gpt-oss-120b
test,3645,positivo,0.9,"Elogia ubicación y productos, sin quejas",openai/gpt-oss-120b
test,3849,muy positivo,0.96,Alaba servicio excelente y ayuda en retiro de dinero,openai/gpt-oss-120b
test,4770,positivo,0.85,"Elogia servicio, menciona problema de arroz con gusanos",openai/gpt-oss-120b
test,641,muy negativo,0.97,"Denuncia cobro excesivo, los llama ladrones, tono muy hostil",openai/gpt-oss-120b
test,3287,positivo,0.88,"Reconoce limitaciones, valora renovación y mejora, tono positivo",openai/gpt-oss-120b
test,3047,muy positivo,0.96,Expresa amor y entusiasmo extremo por la cadena,openai/gpt-oss-120b
test,2656,positivo,0.88,"Destaca ofertas, menciona seguridad molesta, tono mayormente positivo",openai/gpt-oss-120b
test,3777,positivo,0.88,"Califica como bueno para comer y comprar, tono favorable",openai/gpt-oss-120b
test,112,neutral,0.9,Comentario informativo sin valoración positiva ni negativa,openai/gpt-oss-120b
test,885,muy negativo,0.97,"Critica servicio, personal lento y falta de atención, tono muy negativo",openai/gpt-oss-120b
test,868,muy positivo,0.95,Expresa entusiasmo y recomendación clara,openai/gpt-oss-120b
test,1167,neutral,0.8,Mezcla elogios y quejas sin dominio claro,openai/gpt-oss-120b
test,4347,muy negativo,0.95,"Queja grave, enojo y crítica al servicio",openai/gpt-oss-120b
test,3749,muy positivo,0.9,"Entusiasmo claro, recomienda y elogia precios y ofertas",openai/gpt-oss-120b
test,2180,muy negativo,0.96,"Experiencia muy mala, queja grave y recomendación de evitar",openai/gpt-oss-120b
test,121,positivo,0.75,Comentario breve y positivo sin exageración,openai/gpt-oss-120b
